Nombre,N°,Rareza,Tipo,Supertipo,Subtipo,Senda,Coste,FUE,RES,Arte,Habilidades,Texto de ambientación
"Narghot, puño de Ubanna",1,I,,Demonio,,Caos,,1,,Damián Graff/Damián Graff,"Cuando un demonio enemigo controle una cantidad de recursos que supere a la tuya por cuatro o más, voltea Narghot./Narghot obtiene +1 FUE y tiene la habilidad de agresor mientras haya Thanatos.","""¿Traidores? No es mi culpa que no puedan ver más allá de sus propias narices"""
"Fáradt, consejo de Ubanna",2,I,,Demonio,,Locura,,1,,Germán Nóbile - Franco Riesco/Tomás Aira,{0}: Voltéa Fáradt (Juega esta habilidad solo si has enderezado cuatro o más aliados este turno)./Girar: Gira el aliado o demonio objetivo. Fáradt obtiene +1 FUE mientras haya Thanatos.,"""La demencia es el futuro de este mundo. Aquellos que se nieguen a su abrazo, morirán en mis manos."""
"Unwaj, espía de Ubanna",3,I,,Demonio,,Muerte,,1,,Paulo Barrios/Gastón Zubeldia,"Al comienzo de cada restauración, si hay 5 o más aliados en juego, puedes voltear Unwaj./Cuando Unwaj sea volteada, si hay Thanatos, destruye todos los aliados en juego.","""Un tributo de carne y sangre, digno de un demonio superior."""
"Lápatt, guardia de Ubanna",4,I,,Demonio,,Poder,,2,,Lizzo/Lizzo,"Al comienzo de tu restauración, si controlas 3 o más aliados que los demonios enemigos, voltea Lápatt./Lápatt tiene la habilidad de protector mientras haya Thanatos.","""Puedo perderlo todo, menos mi honor."""
Anhelo de Narghot,5,R,Ritual,Instantáneo,,Caos,1,,,Brian Miroglio - Nicolás Fernández,"El aliado enemigo objetivo tiene FUE 0 hasta el final del turno. Si no hay Thanatos, en vez de eso, ese aliado obtiene +2 FUE hasta el final del turno.",Narghot deseó el arte de la enfermedad. Ubanna le enseñó su lado temeroso.
Arenas arrebatadas,6,R,Escenario,,,Caos,0,,,Pablo Gorigoitia - Nicolás Fernández,Los vampiros tienen la habilidad de furia.,"El antiguo santuario de monjes errantes, es ahora un refugio vampírico."
Armería del silo,7,I,Objeto,,,Caos,1,,,Emmanuel Bou,Destruir Armería del silo: Anexa el arma objetivo a un aliado objetivo que controles.,"Una víctima, cien maneras diferentes de morir."
Bribones nungnarh,8,I,Aliado,Instantáneo,Humano,Caos,4,4,3,Roberto Viacava,,
Caminante infortunado,9,C,Aliado,,Vampiro,Caos,3,2,2,Adrián Kim,Thanatos. Vínculo {0} - Tu demonio hace 1 punto de daño al aliado objetivo.,"""Aquel que juega con fuego..."""
Desfigurar,10,I,Ritual,Instantáneo,,Caos,1,,,"Mariano Luengo","El aliado objetivo que controlas obtiene +3 FUE, -1 RES hasta el final del turno.",
Devorahuérfanos,11,E,Aliado,,Abominación,Caos,7,7,7,Luciano Fleitas,"Tus fichas de aliado obtienen +1 FUE y tienen la habilidad de furia hasta el final del turno. Al final de tu turno, destruye todas las fichas de aliado que controles.",Los cachorros perdidos la adoptaron como su nueva madre.
Extirpadora de demencia,12,C,Arma,,,Caos,3,1,0,Emmanuel Bou,Destruir Extirpadora de demencia: No hay Thanatos hasta el final del turno.,La solución nungnarh a un problema siempre será violenta.
Filo de rabia vampírico,13,C,Arma,,,Caos,3,1,1,Hans Lobos,El aliado equipado tiene la habilidad de furia mientras sea un vampiro.,
Ghoul astuciademencia,14,C,Aliado,,Vampiro,Caos,2,2,2,Germán Nóbile,"Evasivo. Si no hay Thanatos, destruye Ghoul astuciademencia.","Escondidos en los sulfúreos vapores, alejados de las tribus humanas."
Granada de clavos,15,C,Objeto,,,Caos,1,,,Hans Lobos,Destruir Granada de clavos: Tu demonio hace 1 punto de daño al aliado o demonio objetivo.,Toda receta nungnarh debe contener fuego en su justa medida.
Improvisar armamento,16,C,Ritual,Instantáneo,,Caos,2,,,Manuela Mauregui,Los aliados equipados que controles obtienen +1 FUE hasta el final del turno.,Ninguna pieza está segura en sus manos.
Kirch hambriento,17,C,Aliado,,Kirch Vampiro,Caos,1,1,1,Emmanuel Bou,,
Kirch huellaígnea,18,I,Aliado,,Kirch,Caos,2,1,2,Felipe Araya,Golpe de gracia - Tu demonio hace 1 punto de daño al aliado objetivo.,"""Claro que es fácil seguir su rastro. Pero dime caminante, ¿Porqué quisieras embancarte a tu muerte?."" -Nómada del gran desierto"
Neuralgia,19,C,Ritual,Instantáneo,,Caos,3,,,Juan Manuel Tumburus,El daño de combate no puede ser prevenido este turno. Recobrar {2}.,
Portademencia,20,I,Arma,,,Caos,1,0,1,Pablo Gorigoitia - Nicolás Fernández,Thanatos.,Curioso artefacto capaz de materializar la esencia de Insania.
Púas de hueso ardiente,21,R,Arma,,,Caos,4,2,2,Felipe Araya,"Siempre que el aliado equipado ataque a un aliado o demonio girado, obtiene +2 FUE hasta el final del turno.",Fuerza a cualquier precio.
Quiebrahuesos,22,E,Arma,,,Caos,5,5,5,Gonzalo Ordoñez,"Siempre que el aliado equipado ataque a un demonio, Quiebrahuesos hace 5 puntos de daño a tu demonio.","Mientras Rasap entonaba el himno de batalla, la sacerdotisa intentó nuevamente levantar la espada. Ligera como el viento, la Quiebrahuesos fue sometida."
Recluta nungnarh,23,C,Aliado,,Humano,Caos,2,1,2,Adrián Kim,"Recluta nungnarh obtiene +1 FUE, +1 RES mientras esté equipado.",No existe límite de edad ni tamaño en las filas Nungnarh. Todos pueden portar un arma.
Sarcófago sangrearena,24,R,Objeto,,,Caos,3,,,Santiago Calleriza,Destruir un vampiro que controles: Agrega 1 energía.,"""Ninguna criatura es inútil. Todo tiene un propósito."" -Maestro de cirugía Tod"
Surgir vampírico,25,C,Ritual,,,Caos,2,,,Rodolfo Buscaglia - Franco Riesco,"Toma una carta. Si hay Thanatos, pon en juego una ficha de aliado {caos} Vampiro 1 FUE, 1 RES.","Fuego y demencia, cuerpo y alma."
"Tanger, campeón de la arena",26,R,Aliado,Único,Vampiro,Caos,5,3,3,Fernando Heinz Furukawa - Rocio Zucchi,"Siempre que Tanger sea equipado, tu demonio puede hacer 1 punto de daño al demonio objetivo.","""El elixir del combate correrá por mis venas y el imperio de la arena se extenderá por el mundo."" -Diario de Viaje de Volker"
Vampiro nungnarh,27,C,Aliado,,Vampiro,Caos,2,2,2,Esteban Campos Millapel,Thanatos.,"Una nueva forma de energía recorrió su organismo, llenándolo de gozo y poder."
Vampiro psíquico,28,C,Aliado,,Vampiro,Caos,4,5,1,"Lizzo",,
