Nombre,N°,Rareza,Tipo,Supertipo,Subtipo,Senda,Coste,FUE,RES,Arte,Habilidades,Texto de ambientación
"Akayra, belleza ígnea",1,C,,Demonio,,Caos,,1,,Damián Graff,"Cuando Akayra haga 5 o más daño en un turno, voltéala.","""Mírame a los ojos. Observa tu mundo consumirse en llamas."""
"Narghot, el irracional",2,C,,Demonio,,Caos,,2,,Julián Nóbile - Germán Nóbile,Destruir cuatro recursos enderezados que controles: Voltea Narghot.,"""Destruir, necesito destruir… ¡Busquen más dominios para devastar!"""
"Syv, padre de la desgracia",3,C,,Demonio,,Caos,,3,,Gastón Real Lopez - Franco Riesco,"Cuando controles siete o más aliados, voltea Syv.","""La horaz ha zhegado, miz pequeñoz. ¡Ezte ez nueztro momentoz!"""
"Baggrund, agotamentes",4,C,,Demonio,,Locura,,3,,Damián Graff,"Cuando tus enemigos no tengan cartas en su mano, voltea Baggrund.","""Cuando no tienes opciones, no tienes futuro."""
"Fáradt, consumevoluntades",5,C,,Demonio,,Locura,,1,,Julián Nóbile - Germán Nóbile,Girar cuatro aliados enderezados que controles: Voltea Fáradt.,"""La energía proviene de cualquier lado. Algunas criaturas mediocres por ejemplo."""
"Viden, el omnisciente",6,C,,Demonio,,Locura,,2,,Julián Nóbile - Germán Nóbile,"Cuando tu mazo tenga quince o menos cartas, voltea Viden.","""Conozco el día que perecerás. Adivinaste."""
"At Fjerne, el desterrado",7,C,,Demonio,,Muerte,,1,,Julián Nóbile - Germán Nóbile,Exiliar las primeras diez cartas de tu Inferno: Voltea At Fjerne.,"""Destruiré mi hogar, para encontrar uno nuevo."""
"Naamah, escultor de carne",8,C,,Demonio,,Muerte,,2,,Damián Graff,"Pon tres aliados de tu inferno en juego, bajo el control del enemigo objetivo: Voltea Naamah.","""Para lograr la grandeza, se necesitan hacer algunos sacrificios."""
"Unwaj, nacida de la muerte",9,C,,Demonio,,Muerte,,3,,Julián Nóbile - Germán Nóbile,"Cuando cinco aliados sean destruidos en un turno, voltea Unwaj.","""Bienvenidos al Inferno."""
"Arasunu, relámpago de vida",10,C,,Demonio,,Poder,,1,,Damián Graff,"Cuando la FUE total de los aliados que controles sea 10 o más, voltea Arasunu.","""¿Ves el horizonte moverse? Ya es tarde, mis bestias van por ti."""
"Lapátt, comandante infernal",11,C,,Demonio,,Poder,,3,,Danilo García Medrano,"Cuando un enemigo te supere en aliados por tres o más, voltea Lapátt.","""La fuerza de mis enemigos alimenta mi poder."""
"Zustatek, sabio espectante",12,C,,Demonio,,Poder,,2,,Julián Nóbile - Germán Nóbile,8: Voltea Zustatek.,"""Mi esencia late en los corazones de cada árbol terrenal."""
Arder en llamas,13,I,Ritual,,,Caos,3,,,Sara Villegas,Tu demonio hace 2 daño a cada aliado y a cada demonio.,"""No hay mejor manera de empezar el día."" -Akayra"
Aullido de la manada,14,R,Ritual,,,Caos,4,,,Alejandro Machado - Santiago Calleriza,"Pon una ficha de aliado caos Kirch 1 FUE, 1 RES en juego por cada ficha que controles.","Los Kirchs sin amo vagan sin rumbo por el Gran desierto, hasta que su instinto los vuelve a reunir."
Buscador de violencia perdida,15,C,Aliado,,Humano,Caos,2,2,1,Gastón Zubeldia,Vínculo 0: Pon el arma objetivo de coste 3 o menos de tu Inferno en tu mano.,Poseen un vínculo poderoso con el Inferno.
Caminante cordillera de fuego,16,I,Aliado,,Humano,Caos,3,2,3,Gastón Real Lopez - Franco Riesco,"Vínculo 0: Pon una ficha de aliado caos Kirch 1 FUE, 1 RES en juego.","Recorrió la Cordillera de fuego en busca de su destino, sin saber que el destino ya lo había encontrado."
Carnada kirch,17,C,Aliado,,Kirch,Caos,1,1,1,Adrián Zotto,Agresor.,"""Hermozo hijo mioz, en tu zacrifizio ezta la victoriaz."" -Syv"
Comandante nungnarh,18,I,Aliado,,Humano,Caos,4,2,3,Fabián Mayta Aguilar,Furia. Tus Kirch obtienen +1 FUE cuando atacan hasta el final del turno.,"""¡Avancen bestias malditas! ¡Avancen a su muerte!"""
Criador de kirchs,19,I,Aliado,,Humano,Caos,3,3,2,Julián Nóbile - Germán Nóbile,"Girar, destruir un aliado no-ficha que controles: Pon una ficha de aliado caos Kirch 1 FUE, 1 RES en juego.",“¡Quédate quieto! No me obligues a golpearte por tercera vez.”
